	Nodes	Option	RandomAvg_Sym_Diff	RandomAvg_Duration_(sek)	GreedyAvg_Sym_Diff	GreedyAvg_Duration_(sek)	GreedySum_Sym_Diff	GreedySum_Duration_(sek)	LouvainAvg_Sym_Diff	LouvainAvg_Duration_(sek)	LouvainAvgMod_Sym_Diff	LouvainAvgMod_Duration_(sek)	LeidenAvg_1_1_Sym_Diff	LeidenAvg_1_1_Duration_(sek)	LeidenAvgMod_1_1_Sym_Diff	LeidenAvgMod_1_1_Duration_(sek)	LeidenAvg_1_7_001_Sym_Diff	LeidenAvg_1_7_001_Duration_(sek)	LeidenAvgMod_1_7_001_Sym_Diff	LeidenAvgMod_1_7_001_Duration_(sek)	GreedyAvg_med_Sym_Diff	GreedyAvg_med_Duration_(sek)	GreedySum_med_Sym_Diff	GreedySum_med_Duration_(sek)	LouvainAvg_med_Sym_Diff	LouvainAvg_med_Duration_(sek)	LouvainAvgMod_med_Sym_Diff	LouvainAvgMod_med_Duration_(sek)	LeidenAvg_1_1_med_Sym_Diff	LeidenAvg_1_1_med_Duration_(sek)	LeidenAvg_1_7_001_med_Sym_Diff	LeidenAvg_1_7_001_med_Duration_(sek)
0	10	0	0,533	0,00171	0,156	0,00587	0,533	0,00721	0,2	0,11314	0,356	0,11384	0,2	0,10888	0,044	0,15243	0,2	0,14392	0,356	0,15591	0,2	0,00851	0,533	0,00686	0,2	0,11783	0,356	0,12187	0,2	0,13266	0,2	0,14297
1	10	0	0,356	0,00141	0,356	0,00664	0,356	0,00812	0,2	0,11547	0,356	0,11781	0,2	0,13292	0,2	0,16066	0,2	0,15485	0,2	0,13814	0,356	0,00711	0,356	0,00728	0,2	0,12302	0,356	0,12543	0,2	0,13873	0,2	0,13528
2	10	0	0,4	0,00133	0,178	0,00567	0,2	0,00774	0,2	0,09988	0,578	0,12139	0,2	0,11134	0,444	0,1577	0,2	0,11558	0,578	0,15781	0,2	0,00804	0,2	0,0061	0,2	0,1046	0,578	0,1302	0,2	0,11482	0,2	0,12324
3	10	0	0,289	0,00177	0,222	0,00691	0,378	0,0082	0,2	0,10639	0,533	0,11877	0,2	0,13987	0,533	0,15405	0,2	0,14373	0,533	0,15365	0,2	0,00669	0,378	0,00795	0,2	0,11226	0,533	0,12599	0,2	0,13456	0,2	0,13901
4	10	0	0,0	0,00215	0,0	0,00929	0,0	0,007	0,0	0,08731	0,0	0,11986	0,0	0,08999	0,0	0,15677	0,0	0,09323	0,0	0,16079	0,0	0,00678	0,0	0,00704	0,0	0,08992	0,0	0,12806	0,0	0,10118	0,0	0,10055
5	10	0	0,0	0,00209	0,0	0,0059	0,0	0,00759	0,0	0,0944	0,0	0,13078	0,0	0,09776	0,0	0,16144	0,0	0,10123	0,0	0,14436	0,0	0,00646	0,0	0,00736	0,0	0,09275	0,0	0,11652	0,0	0,10561	0,0	0,10502
6	10	0	0,2	0,00218	0,2	0,00652	0,2	0,00727	0,2	0,11775	0,0	0,11609	0,2	0,15555	0,0	0,15442	0,2	0,1528	0,0	0,15804	0,2	0,00779	0,2	0,00697	0,2	0,12481	0,0	0,12367	0,2	0,135	0,2	0,15312
7	10	0	0,644	0,00216	0,089	0,00632	0,089	0,00768	0,089	0,07333	0,422	0,11854	0,089	0,08681	0,311	0,15793	0,089	0,087	0,422	0,16862	0,089	0,00701	0,089	0,00801	0,089	0,07764	0,422	0,13917	0,089	0,08962	0,089	0,08831
8	10	0	0,533	0,00199	0,044	0,00644	0,044	0,00618	0,044	0,07255	0,311	0,12309	0,044	0,08618	0,578	0,16697	0,044	0,08887	0,333	0,1611	0,044	0,00558	0,044	0,0088	0,044	0,07615	0,311	0,13142	0,044	0,09464	0,044	0,0895
9	10	0	0,0	0,00225	0,0	0,00649	0,0	0,00733	0,0	0,08561	0,0	0,11994	0,0	0,08951	0,0	0,15673	0,0	0,09372	0,0	0,15956	0,0	0,00478	0,0	0,00632	0,0	0,08905	0,0	0,12752	0,0	0,10091	0,0	0,10003
10	10	0	0,733	0,00218	0,067	0,00798	0,2	0,0063	0,089	0,08302	0,222	0,11735	0,089	0,09029	0,244	0,16034	0,089	0,09884	0,244	0,15752	0,178	0,008	0,2	0,00673	0,089	0,08762	0,222	0,12527	0,089	0,09297	0,089	0,09429
11	10	0	0,2	0,00223	0,2	0,00643	0,2	0,00822	0,2	0,14697	0,2	0,12012	0,2	0,15881	0,2	0,15027	0,2	0,16638	0,2	0,16636	0,2	0,0075	0,2	0,00741	0,2	0,14778	0,2	0,12851	0,2	0,16702	0,2	0,17023
12	10	0	0,556	0,00219	0,0	0,00583	0,0	0,00794	0,0	0,08727	0,556	0,1063	0,0	0,08831	0,556	0,15959	0,0	0,09614	0,556	0,16058	0,0	0,00596	0,0	0,00662	0,0	0,09118	0,556	0,11334	0,0	0,09905	0,0	0,0965
13	10	0	0,2	0,00212	0,2	0,0053	0,2	0,00659	0,2	0,1406	0,2	0,10966	0,2	0,15722	0,2	0,15288	0,2	0,1631	0,2	0,14459	0,2	0,00606	0,2	0,00704	0,2	0,14906	0,2	0,11648	0,2	0,18107	0,2	0,17678
14	10	0	0,0	0,00235	0,0	0,00701	0,0	0,00824	0,0	0,08801	0,0	0,12472	0,0	0,09401	0,0	0,16317	0,0	0,09861	0,0	0,16547	0,0	0,00699	0,0	0,00723	0,0	0,09283	0,0	0,13376	0,0	0,10534	0,0	0,10438
15	10	0	0,0	0,00126	0,0	0,00957	0,0	0,00634	0,0	0,09255	0,0	0,12726	0,0	0,10239	0,0	0,14974	0,0	0,10695	0,0	0,15382	0,0	0,00829	0,0	0,00647	0,0	0,09249	0,0	0,1275	0,0	0,10993	0,0	0,10146
16	10	0	0,2	0,00126	0,2	0,00779	0,2	0,0073	0,0	0,14905	0,2	0,11302	0,0	0,15456	0,2	0,14904	0,0	0,18427	0,2	0,15148	0,0	0,00718	0,2	0,00828	0,0	0,1489	0,2	0,11356	0,0	0,13636	0,0	0,17301
17	10	0	0,0	0,00124	0,0	0,00623	0,0	0,00794	0,0	0,0788	0,0	0,12904	0,0	0,10698	0,0	0,16514	0,0	0,10626	0,0	0,16756	0,0	0,00673	0,0	0,00787	0,0	0,07928	0,0	0,12954	0,0	0,10885	0,0	0,11103
18	10	0	0,511	0,00128	0,0	0,0064	0,511	0,00798	0,0	0,08838	0,511	0,11947	0,0	0,10347	0,511	0,15791	0,0	0,11237	0,511	0,16769	0,511	0,00898	0,511	0,00678	0,0	0,08894	0,511	0,11868	0,0	0,10913	0,0	0,10516
19	10	0	0,644	0,00124	0,089	0,00656	0,089	0,00635	0,089	0,08061	0,644	0,13036	0,089	0,08896	0,644	0,15867	0,089	0,08715	0,644	0,15922	0,0	0,00626	0,089	0,00676	0,089	0,07984	0,644	0,13041	0,089	0,0874	0,089	0,08745
20	10	0	0,0	0,00114	0,0	0,00609	0,0	0,0063	0,0	0,07869	0,0	0,12949	0,0	0,1108	0,0	0,15792	0,0	0,09179	0,0	0,1615	0,0	0,00609	0,0	0,00729	0,0	0,07882	0,0	0,12999	0,0	0,11106	0,0	0,08932
21	10	0	0,0	0,00075	0,0	0,00345	0,0	0,00386	0,0	0,04586	0,0	0,07584	0,0	0,09633	0,0	0,15888	0,0	0,09156	0,0	0,16618	0,0	0,00673	0,0	0,00608	0,0	0,08113	0,0	0,13441	0,0	0,11435	0,0	0,09213
22	10	0	0,378	0,00124	0,378	0,0082	0,378	0,00677	0,2	0,14374	0,378	0,12515	0,2	0,15093	0,378	0,16301	0,2	0,14468	0,378	0,14303	0,378	0,00702	0,378	0,00818	0,2	0,14249	0,378	0,12586	0,2	0,16022	0,2	0,16328
23	10	0	0,0	0,00127	0,0	0,00598	0,0	0,0077	0,0	0,08077	0,0	0,14328	0,0	0,10059	0,0	0,16073	0,0	0,08783	0,0	0,17055	0,0	0,00619	0,0	0,00791	0,0	0,08105	0,0	0,14222	0,0	0,09059	0,0	0,0885
24	10	0	0,2	0,00117	0,2	0,00628	0,2	0,00734	0,0	0,11178	0,2	0,12477	0,0	0,07873	0,2	0,09275	0,0	0,07624	0,2	0,09046	0,2	0,00513	0,2	0,00384	0,0	0,06545	0,2	0,07367	0,0	0,08411	0,0	0,07996
25	10	0	0,0	0,00125	0,0	0,00812	0,0	0,0072	0,0	0,06921	0,0	0,11084	0,0	0,08515	0,0	0,15177	0,0	0,08647	0,0	0,15015	0,0	0,00872	0,0	0,00804	0,0	0,06925	0,0	0,10967	0,0	0,08507	0,0	0,08715
26	10	0	0,533	0,00071	0,0	0,00383	0,2	0,00387	0,0	0,04609	0,533	0,07774	0,0	0,05407	0,533	0,16789	0,0	0,09075	0,533	0,17265	0,0	0,0052	0,0	0,00785	0,0	0,07748	0,533	0,13233	0,0	0,08984	0,0	0,09228
27	10	0	0,2	0,00119	0,2	0,00623	0,2	0,00828	0,0	0,0942	0,2	0,11418	0,0	0,12676	0,2	0,14471	0,0	0,11493	0,2	0,1541	0,2	0,00646	0,2	0,0067	0,0	0,09391	0,2	0,11375	0,0	0,12551	0,0	0,13149
28	10	0	0,0	0,0012	0,0	0,00666	0,0	0,00854	0,0	0,09808	0,0	0,13605	0,0	0,10146	0,0	0,16302	0,0	0,10476	0,0	0,16342	0,0	0,00665	0,0	0,00978	0,0	0,09751	0,0	0,13622	0,0	0,10131	0,0	0,10252
29	10	0	0,356	0,00129	0,0	0,00728	0,356	0,00757	0,0	0,09381	0,356	0,1262	0,0	0,11049	0,356	0,15503	0,0	0,10206	0,356	0,15375	0,356	0,0083	0,356	0,00815	0,0	0,09192	0,356	0,1257	0,0	0,10341	0,0	0,10429
