	Nodes	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
2713	25	10	0,0	0,01529	0,0	0,01524	0,0	0,01888	0,0	3,63927
2714	25	80	0,227	0,02323	0,23	0,02536	0,193	0,02137	0,097	10,10728
2715	25	40	0,02	0,05326	0,02	0,04919	0,02	0,04926	0,013	16,65864
2716	25	60	0,06	0,03946	0,06	0,03895	0,06	0,03951	0,053	14,60374
2717	25	20	0,003	0,01324	0,003	0,01368	0,003	0,01674	0,0	4,28212
2718	25	40	0,0	0,00706	0,0	0,00664	0,0	0,00782	0,0	3,31139
2719	25	70	0,087	0,04112	0,087	0,03862	0,113	0,03996	0,073	16,22979
2720	25	30	0,003	0,01242	0,003	0,01254	0,0	0,01538	0,0	5,07396
2721	25	10	0,0	0,00042	0,0	0,00522	0,0	0,00473	0,0	1,39072
2722	25	50	0,007	0,00972	0,007	0,00985	0,007	0,01125	0,0	5,9829
2723	25	20	0,0	0,00038	0,0	0,00423	0,0	0,00391	0,0	1,94475
2724	25	60	0,05	0,01024	0,05	0,00998	0,04	0,01403	0,063	6,99152
2725	25	80	0,173	0,00598	0,227	0,00584	0,227	0,00801	0,337	6,24218
2726	25	30	0,0	0,00036	0,0	0,00406	0,0	0,00369	0,0	2,49133
2727	25	90	0,493	0,01366	0,493	0,01334	0,367	0,02865	0,19	16,84701
2728	25	70	0,037	0,01223	0,037	0,01186	0,033	0,01295	0,05	8,47935
2729	25	40	0,0	0,00034	0,0	0,00341	0,0	0,00309	0,0	3,02937
2730	25	60	0,0	0,00028	0,0	0,00131	0,0	0,00123	0,0	2,2183
2731	25	50	0,0	0,00032	0,0	0,00311	0,0	0,00272	0,0	3,43766
2732	25	70	0,0	0,00032	0,0	0,00201	0,0	0,00196	0,0	4,08449
2733	25	80	0,0	0,00032	0,0	0,00147	0,0	0,00146	0,0	4,29005
2734	25	90	0,0	0,00029	0,0	0,00108	0,0	0,00108	0,0	4,47096
2735	25	20	0,0	0,01262	0,0	0,01715	0,0	0,01151	0,0	3,07633
2736	25	10	0,0	0,02339	0,0	0,02243	0,0	0,0212	0,0	5,03154
2737	25	90	0,22	0,0037	0,22	0,00334	0,33	0,01338	0,247	13,51909
2738	25	30	0,003	0,0189	0,003	0,01952	0,003	0,0178	0,0	5,93225
2739	25	70	0,087	0,00664	0,087	0,00659	0,043	0,00952	0,027	4,06718
2740	25	40	0,0	0,01759	0,0	0,01933	0,0	0,01639	0,0	6,47352
2741	25	50	0,037	0,01716	0,037	0,0184	0,037	0,01715	0,027	6,99179
2742	25	60	0,043	0,01486	0,043	0,01526	0,043	0,01544	0,027	7,661
2743	25	20	0,0	0,01382	0,0	0,01381	0,0	0,01361	0,003	4,53215
2744	25	80	0,157	0,01305	0,157	0,01323	0,08	0,01576	0,037	8,22125
2745	25	10	0,0	0,02722	0,0	0,0289	0,0	0,02781	0,0	6,93423
2746	25	30	0,0	0,02273	0,0	0,02374	0,0	0,02407	0,003	9,19103
2747	25	60	0,0	0,0098	0,0	0,00912	0,0	0,0089	0,01	7,63186
2748	25	10	0,0	0,00032	0,0	0,00279	0,0	0,00256	0,0	0,75527
2749	25	20	0,0	0,00033	0,0	0,00269	0,0	0,00219	0,0	1,13028
2750	25	30	0,0	0,00032	0,0	0,00224	0,0	0,00205	0,0	1,41412
2751	25	90	0,53	0,02408	0,53	0,02246	0,313	0,03909	0,24	16,76441
2752	25	40	0,013	0,03176	0,013	0,03324	0,013	0,03084	0,017	14,65092
2753	25	40	0,0	0,00032	0,0	0,00202	0,0	0,00177	0,0	1,69033
2754	25	50	0,0	0,00033	0,0	0,00311	0,0	0,00276	0,0	3,44734
2755	25	70	0,0	0,0003	0,0	0,00106	0,0	0,001	0,0	2,28015
2756	25	50	0,023	0,02849	0,023	0,02927	0,023	0,02671	0,017	16,1193
2757	25	60	0,0	0,00032	0,0	0,00245	0,0	0,00243	0,0	3,88571
2758	25	10	0,0	0,00039	0,0	0,0049	0,0	0,00452	0,0	1,3137
2759	25	20	0,0	0,0004	0,0	0,00449	0,0	0,00416	0,0	1,95155
2760	25	70	0,093	0,02542	0,093	0,0234	0,12	0,02022	0,087	18,22425
2761	25	80	0,0	0,0003	0,0	0,00155	0,0	0,00152	0,0	4,30288
2762	25	30	0,0	0,00037	0,0	0,00404	0,0	0,00367	0,0	2,51555
2763	25	90	0,0	0,00031	0,227	0,00151	0,227	0,00328	0,227	4,123
2764	25	40	0,0	0,00036	0,0	0,00357	0,0	0,00327	0,0	3,01166
2765	25	80	0,0	0,00028	0,0	0,00082	0,0	0,00083	0,0	2,43586
2766	25	50	0,0	0,00036	0,0	0,00381	0,0	0,00288	0,0	3,4445
2767	25	10	0,0	0,00046	0,0	0,00334	0,0	0,00278	0,0	0,74308
2768	25	60	0,0	0,00031	0,0	0,00237	0,0	0,00235	0,0	3,78541
2769	25	70	0,0	0,00032	0,0	0,0019	0,0	0,00189	0,0	4,05588
2770	25	30	0,0	0,00032	0,0	0,00221	0,0	0,00196	0,0	1,45721
2771	25	20	0,0	0,00035	0,0	0,00425	0,0	0,00386	0,0	1,96216
2772	25	80	0,03	0,02349	0,03	0,02262	0,073	0,02134	0,05	23,46414
2773	25	40	0,0	0,00033	0,0	0,0036	0,0	0,00329	0,0	3,00701
2774	25	60	0,0	0,00031	0,0	0,00171	0,0	0,0014	0,0	2,12359
2775	25	90	0,403	0,02352	0,443	0,02263	0,533	0,03823	0,35	19,98266
2776	25	50	0,0	0,00033	0,0	0,00315	0,0	0,00285	0,0	3,51168
2777	25	10	0,0	0,00469	0,0	0,00503	0,0	0,00721	0,0	1,07644
2778	25	70	0,0	0,0003	0,0	0,0019	0,0	0,00188	0,0	4,10942
2779	25	20	0,0	0,00641	0,0	0,00817	0,0	0,01073	0,0	2,5423
2780	25	90	0,0	0,00029	0,297	0,0015	0,297	0,00699	0,297	7,58657
2781	25	40	0,003	0,00328	0,003	0,00358	0,0	0,00495	0,0	2,14853
2782	25	80	0,0	0,00031	0,0	0,0015	0,0	0,00151	0,0	4,32487
2783	25	30	0,003	0,00518	0,003	0,0071	0,0	0,00946	0,0	3,11094
2784	25	80	0,017	0,00135	0,017	0,00136	0,017	0,00182	0,0	2,92448
2785	25	50	0,0	0,00532	0,0	0,00666	0,0	0,00762	0,0	4,32602
2786	25	60	0,01	0,00314	0,01	0,0042	0,01	0,00559	0,0	4,65559
2787	25	90	0,0	0,0003	0,157	0,00132	0,157	0,00445	0,157	7,72628
2788	25	70	0,02	0,00113	0,02	0,00218	0,02	0,00323	0,0	4,36477
2789	25	10	0,0	0,02099	0,0	0,0218	0,0	0,0194	0,0	3,64091
2790	25	20	0,007	0,01116	0,007	0,01131	0,007	0,01582	0,0	2,39176
2791	25	90	0,147	0,00169	0,147	0,00232	0,173	0,00692	0,13	7,78789
2792	25	30	0,01	0,01681	0,01	0,01633	0,01	0,01617	0,0	4,36273
2793	25	10	0,0	0,00039	0,0	0,00487	0,0	0,00443	0,0	1,31959
2794	25	60	0,01	0,01321	0,01	0,01311	0,01	0,01309	0,0	5,35819
2795	25	40	0,003	0,01908	0,003	0,01836	0,017	0,01682	0,013	5,80158
2796	25	80	0,14	0,01386	0,14	0,00864	0,123	0,01121	0,123	4,75175
2797	25	50	0,01	0,01583	0,01	0,01628	0,017	0,01497	0,007	6,17224
2798	25	70	0,04	0,00996	0,04	0,01023	0,06	0,01161	0,073	6,37352
2799	25	20	0,0	0,00034	0,0	0,00426	0,0	0,00391	0,0	2,03024
2800	25	50	0,0	0,00031	0,0	0,00183	0,0	0,00147	0,0	1,94844
2801	25	30	0,0	0,00041	0,0	0,00422	0,0	0,00346	0,0	2,49927
2802	25	40	0,0	0,00038	0,0	0,00368	0,0	0,00357	0,0	3,01906
2803	25	10	0,0	0,00037	0,0	0,00477	0,0	0,0045	0,0	1,31803
2804	25	60	0,0	0,0003	0,0	0,0023	0,0	0,00227	0,0	3,80885
2805	25	70	0,0	0,0003	0,0	0,00193	0,0	0,00193	0,0	4,10923
