	Nodes	Option	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
23487	25	5	70	0,02	0,00274	0,02	0,00246	0,06	0,00325	0,08	2,75225
23488	25	5	80	0,017	0,00263	0,017	0,00242	0,017	0,00244	0,093	2,72291
23489	25	5	90	0,533	0,00588	0,53	0,00522	0,34	0,01371	0,367	7,26893
23490	25	5	10	0,003	0,00534	0,003	0,0055	0,003	0,00521	0,003	1,48302
23491	25	5	20	0,0	0,00502	0,0	0,00528	0,0	0,0051	0,0	1,76198
23492	25	5	30	0,0	0,00472	0,0	0,00475	0,0	0,00453	0,01	1,92411
23493	25	5	40	0,007	0,00234	0,007	0,00224	0,007	0,00238	0,017	1,17975
23494	25	5	50	0,007	0,00389	0,007	0,00359	0,007	0,00367	0,013	2,03204
23495	25	5	60	0,06	0,00393	0,06	0,00358	0,067	0,00423	0,07	2,19622
23496	25	5	70	0,027	0,00345	0,027	0,00324	0,023	0,00343	0,053	2,58836
23497	25	5	80	0,177	0,00473	0,177	0,00414	0,173	0,0069	0,21	3,34898
23498	25	5	90	0,51	0,00956	0,51	0,00904	0,437	0,01506	0,53	7,1988
23499	25	5	10	0,0	0,00644	0,0	0,00702	0,0	0,00699	0,0	2,35973
23500	25	5	20	0,01	0,00507	0,013	0,00315	0,013	0,00361	0,013	1,44404
23501	25	5	30	0,02	0,00559	0,02	0,00539	0,02	0,00573	0,01	2,49614
23502	25	5	40	0,013	0,00484	0,013	0,00482	0,013	0,00484	0,017	2,52917
23503	25	5	50	0,017	0,00498	0,017	0,00448	0,017	0,00432	0,037	2,71996
23504	25	5	60	0,127	0,00578	0,13	0,00552	0,083	0,00523	0,097	3,98001
23505	25	5	70	0,12	0,00578	0,12	0,00598	0,103	0,00574	0,103	4,8612
23506	25	5	80	0,287	0,00474	0,287	0,00446	0,173	0,00575	0,207	4,8097
23507	25	5	90	0,437	0,00573	0,423	0,00562	0,453	0,01288	0,39	6,28923
23508	25	5	10	0,003	0,00379	0,003	0,00368	0,003	0,00383	0,003	1,56842
23509	25	5	20	0,0	0,00556	0,0	0,00569	0,0	0,00589	0,0	2,83638
23510	25	5	30	0,003	0,00533	0,003	0,00541	0,003	0,00511	0,003	2,59603
23511	25	5	40	0,003	0,00376	0,003	0,00373	0,003	0,00378	0,003	2,44772
23512	25	5	50	0,01	0,00403	0,01	0,00386	0,01	0,00374	0,02	1,9812
23513	25	5	60	0,01	0,00331	0,01	0,00342	0,01	0,00356	0,017	2,57306
23514	25	5	70	0,083	0,00337	0,083	0,00334	0,097	0,00395	0,117	2,57609
23515	25	5	80	0,18	0,00331	0,167	0,00371	0,14	0,00345	0,187	2,6269
23516	25	5	90	0,547	0,00843	0,547	0,00837	0,487	0,01479	0,447	5,97089
23517	25	5	10	0,0	0,00505	0,0	0,00468	0,0	0,00472	0,003	1,3644
23518	25	5	20	0,0	0,00291	0,0	0,00281	0,0	0,0026	0,007	1,80056
23519	25	5	30	0,0	0,00389	0,0	0,00382	0,0	0,00432	0,01	1,72205
23520	25	5	40	0,0	0,0037	0,0	0,00355	0,0	0,00369	0,007	2,0562
23521	25	5	50	0,023	0,00306	0,023	0,00336	0,023	0,00312	0,03	2,07558
23522	25	5	60	0,05	0,0028	0,05	0,00309	0,05	0,00291	0,1	2,65378
23523	25	5	70	0,023	0,00231	0,023	0,00232	0,023	0,00238	0,043	2,27653
23524	25	5	80	0,123	0,00539	0,123	0,00542	0,147	0,00547	0,203	3,7289
23525	25	5	90	0,457	0,00277	0,45	0,00256	0,32	0,00942	0,333	5,49634
23526	25	5	10	0,0	0,00487	0,0	0,00508	0,0	0,00473	0,003	4,80304
23527	25	5	20	0,0	0,00537	0,0	0,00545	0,0	0,00567	0,003	4,42184
23528	25	5	30	0,0	0,00523	0,0	0,00502	0,0	0,00498	0,007	4,14654
23529	25	5	40	0,0	0,00276	0,0	0,00265	0,0	0,00265	0,003	3,62163
23530	25	5	50	0,0	0,00411	0,0	0,00419	0,0	0,00412	0,01	3,58924
23531	25	5	60	0,047	0,00434	0,037	0,00435	0,053	0,00559	0,057	4,02041
23532	25	5	70	0,067	0,007	0,067	0,00666	0,073	0,00725	0,07	5,54874
23533	25	5	80	0,253	0,00575	0,253	0,0056	0,243	0,00641	0,19	6,20375
23534	25	5	90	0,363	0,00759	0,353	0,00729	0,327	0,01361	0,393	5,99791
23535	25	5	10	0,003	0,00538	0,003	0,0052	0,007	0,00577	0,007	1,63475
23536	25	5	20	0,0	0,00517	0,0	0,00517	0,0	0,00527	0,007	1,88679
23537	25	5	30	0,003	0,00279	0,003	0,00254	0,003	0,00263	0,01	1,10107
23538	25	5	40	0,013	0,00251	0,017	0,0022	0,017	0,00315	0,033	1,83025
23539	25	5	50	0,017	0,00486	0,01	0,00498	0,017	0,00484	0,053	2,23146
23540	25	5	60	0,017	0,00255	0,013	0,00231	0,02	0,00259	0,047	1,87407
23541	25	5	70	0,027	0,0031	0,027	0,00307	0,03	0,00307	0,053	2,45779
23542	25	5	80	0,13	0,00295	0,13	0,00271	0,053	0,00313	0,12	2,5267
23543	25	5	90	0,3	0,00404	0,3	0,00364	0,297	0,0102	0,263	4,22722
23544	25	5	10	0,0	0,00517	0,0	0,0054	0,0	0,00553	0,0	2,40504
23545	25	5	20	0,0	0,00537	0,0	0,00529	0,0	0,00514	0,0	2,13834
23546	25	5	30	0,007	0,00509	0,007	0,00537	0,007	0,00495	0,007	2,77825
23547	25	5	40	0,017	0,00398	0,017	0,00422	0,017	0,00421	0,02	2,44375
23548	25	5	50	0,023	0,00396	0,023	0,00382	0,023	0,00377	0,017	2,37867
23549	25	5	60	0,017	0,00308	0,017	0,00313	0,017	0,00308	0,023	2,00174
23550	25	5	70	0,017	0,00295	0,017	0,00301	0,017	0,00297	0,013	1,40266
23551	25	5	80	0,073	0,00457	0,073	0,00443	0,09	0,00516	0,117	3,57817
23552	25	5	90	0,563	0,00715	0,56	0,00669	0,407	0,01567	0,477	8,43244
23553	25	5	10	0,0	0,0059	0,0	0,00605	0,0	0,00607	0,0	1,39895
23554	25	5	20	0,0	0,00488	0,0	0,00503	0,0	0,00472	0,01	1,81922
23555	25	5	30	0,0	0,00519	0,003	0,00478	0,003	0,00513	0,003	1,93885
23556	25	5	40	0,0	0,00473	0,0	0,00469	0,0	0,00482	0,003	1,98436
23557	25	5	50	0,047	0,00399	0,047	0,00414	0,047	0,00454	0,057	1,72201
23558	25	5	60	0,01	0,00209	0,01	0,00218	0,01	0,00238	0,027	1,53903
23559	25	5	70	0,05	0,00326	0,05	0,00329	0,05	0,00326	0,063	2,34468
23560	25	5	80	0,14	0,00344	0,14	0,00294	0,087	0,00315	0,133	3,13635
23561	25	5	90	0,547	0,00791	0,543	0,00734	0,36	0,01631	0,353	8,17836
23562	25	5	10	0,0	0,00454	0,0	0,00436	0,0	0,00457	0,003	1,40816
23563	25	5	20	0,0	0,00533	0,0	0,00524	0,0	0,0104	0,003	2,32758
23564	25	5	30	0,0	0,00431	0,0	0,00445	0,0	0,00457	0,013	2,08775
23565	25	5	40	0,003	0,00438	0,003	0,00392	0,003	0,00394	0,017	2,04425
23566	25	5	50	0,003	0,00379	0,0	0,00363	0,003	0,00374	0,01	2,29183
23567	25	5	60	0,04	0,00384	0,04	0,00373	0,04	0,00388	0,057	2,55877
23568	25	5	70	0,017	0,00221	0,017	0,00204	0,06	0,00259	0,097	1,70106
23569	25	5	80	0,13	0,00404	0,13	0,00348	0,107	0,00405	0,15	4,13114
23570	25	5	90	0,34	0,00417	0,34	0,0037	0,353	0,01071	0,307	4,69709
23571	25	5	10	0,0	0,00668	0,0	0,0067	0,0	0,00685	0,007	1,51265
23572	25	5	20	0,0	0,00584	0,0	0,00601	0,0	0,00614	0,0	1,66005
23573	25	5	30	0,0	0,00571	0,0	0,00555	0,0	0,00569	0,003	1,84471
23574	25	5	40	0,0	0,0051	0,0	0,00528	0,0	0,00532	0,0	2,29076
23575	25	5	50	0,013	0,00465	0,013	0,00457	0,017	0,00579	0,023	2,31551
23576	25	5	60	0,01	0,0047	0,01	0,00453	0,01	0,00502	0,02	2,42005
23577	25	5	70	0,103	0,00594	0,103	0,00553	0,097	0,00524	0,093	2,7746
23578	25	5	80	0,31	0,24667	0,31	0,00479	0,28	0,00586	0,24	3,24867
23579	25	5	90	0,62	0,00533	0,62	0,00454	0,433	0,01526	0,383	7,2794
23580	25	5	10	0,0	0,00625	0,0	0,00587	0,0	0,0056	0,0	1,35104
23581	25	5	20	0,003	0,00445	0,003	0,00494	0,003	0,00456	0,007	1,47756
23582	25	5	30	0,01	0,00488	0,01	0,00483	0,01	0,00443	0,017	1,69382
