	Nodes	Option	RandomAvg_Sym_Diff	RandomAvg_Duration_(sek)	GreedyAvg_Sym_Diff	GreedyAvg_Duration_(sek)	GreedySum_Sym_Diff	GreedySum_Duration_(sek)	LouvainAvg_Sym_Diff	LouvainAvg_Duration_(sek)	LouvainAvgMod_Sym_Diff	LouvainAvgMod_Duration_(sek)	LeidenAvg_1_1_Sym_Diff	LeidenAvg_1_1_Duration_(sek)	LeidenAvgMod_1_1_Sym_Diff	LeidenAvgMod_1_1_Duration_(sek)	LeidenAvg_1_7_001_Sym_Diff	LeidenAvg_1_7_001_Duration_(sek)	LeidenAvgMod_1_7_001_Sym_Diff	LeidenAvgMod_1_7_001_Duration_(sek)	GreedyAvg_med_Sym_Diff	GreedyAvg_med_Duration_(sek)	GreedySum_med_Sym_Diff	GreedySum_med_Duration_(sek)	LouvainAvg_med_Sym_Diff	LouvainAvg_med_Duration_(sek)	LouvainAvgMod_med_Sym_Diff	LouvainAvgMod_med_Duration_(sek)	LeidenAvg_1_1_med_Sym_Diff	LeidenAvg_1_1_med_Duration_(sek)	LeidenAvg_1_7_001_med_Sym_Diff	LeidenAvg_1_7_001_med_Duration_(sek)
0	10	0	0,533	0,0013	0,2	0,00668	0,156	0,00589	0,2	0,11214	0,378	0,12319	0,0	0,09014	0,378	0,14886	0,0	0,08376	0,378	0,156	0,133	0,00685	0,156	0,00616	0,2	0,11125	0,378	0,12244	0,0	0,08605	0,0	0,08007
1	10	0	0,489	0,00137	0,356	0,00845	0,356	0,0061	0,2	0,11736	0,356	0,13465	0,2	0,14977	0,022	0,14413	0,2	0,13578	0,022	0,08688	0,356	0,00605	0,356	0,00577	0,2	0,12257	0,356	0,12435	0,2	0,15258	0,2	0,1248
2	10	0	0,444	0,00133	0,0	0,0048	0,133	0,00862	0,0	0,08046	0,133	0,12474	0,0	0,08988	0,244	0,15279	0,0	0,07431	0,111	0,15235	0,111	0,00673	0,133	0,00743	0,0	0,07743	0,133	0,12305	0,0	0,08891	0,0	0,08674
3	10	0	0,533	0,00145	0,0	0,00503	0,156	0,00625	0,0	0,07777	0,533	0,11946	0,0	0,08631	0,533	0,15968	0,0	0,08967	0,533	0,15812	0,0	0,0056	0,156	0,0066	0,0	0,07707	0,533	0,12051	0,0	0,08939	0,0	0,0917
4	10	0	0,0	0,00144	0,0	0,00717	0,0	0,00683	0,0	0,0884	0,0	0,12209	0,0	0,0908	0,0	0,14767	0,0	0,09299	0,0	0,14132	0,0	0,00557	0,0	0,00597	0,0	0,08464	0,0	0,12158	0,0	0,09224	0,0	0,09165
5	10	0	0,0	0,00142	0,0	0,00586	0,0	0,00682	0,0	0,08477	0,0	0,12123	0,0	0,08994	0,0	0,14773	0,0	0,09388	0,0	0,14107	0,0	0,00598	0,0	0,00583	0,0	0,08491	0,0	0,12181	0,0	0,0921	0,0	0,08999
6	10	0	0,2	0,00133	0,2	0,00676	0,2	0,00668	0,2	0,12881	0,0	0,12441	0,2	0,14627	0,0	0,15284	0,2	0,14088	0,0	0,14649	0,2	0,00522	0,2	0,00585	0,2	0,12437	0,0	0,12409	0,2	0,14077	0,2	0,13983
7	10	0	0,644	0,00137	0,089	0,00555	0,089	0,00647	0,089	0,07366	0,422	0,11993	0,089	0,08252	0,422	0,14656	0,089	0,08116	0,222	0,14834	0,089	0,00555	0,089	0,00629	0,089	0,07193	0,422	0,12169	0,089	0,0795	0,089	0,07822
8	10	0	0,756	0,0014	0,0	0,00462	0,0	0,00926	0,0	0,07888	0,222	0,12011	0,0	0,09118	0,222	0,14514	0,0	0,09255	0,222	0,15155	0,0	0,00764	0,0	0,0066	0,0	0,07807	0,222	0,11993	0,0	0,09046	0,0	0,08876
9	10	0	0,0	0,00135	0,0	0,00649	0,0	0,00722	0,0	0,09031	0,0	0,12151	0,0	0,10446	0,0	0,14905	0,0	0,09381	0,0	0,14341	0,0	0,00525	0,0	0,00597	0,0	0,08524	0,0	0,12173	0,0	0,09303	0,0	0,10346
10	10	0	0,533	0,00134	0,0	0,00582	0,067	0,00689	0,089	0,07973	0,222	0,12121	0,089	0,10009	0,244	0,15423	0,089	0,09359	0,2	0,14839	0,0	0,00706	0,0	0,00646	0,089	0,07704	0,222	0,11514	0,089	0,09268	0,089	0,09395
11	10	0	0,2	0,00134	0,0	0,00817	0,2	0,00632	0,0	0,11918	0,2	0,13857	0,0	0,17265	0,2	0,14045	0,0	0,17469	0,2	0,15052	0,2	0,00583	0,2	0,00634	0,0	0,10904	0,2	0,12814	0,0	0,1354	0,2	0,1515
12	10	0	0,556	0,00145	0,0	0,00603	0,0	0,00687	0,0	0,08255	0,556	0,12577	0,0	0,08928	0,556	0,15435	0,0	0,08903	0,556	0,1456	0,0	0,00656	0,0	0,00649	0,0	0,08237	0,556	0,12486	0,0	0,09226	0,0	0,09125
13	10	0	0,2	0,0016	0,0	0,00758	0,2	0,00665	0,2	0,13725	0,2	0,11442	0,2	0,163	0,2	0,13611	0,2	0,15623	0,2	0,13492	0,2	0,0065	0,2	0,00696	0,2	0,13299	0,2	0,11193	0,2	0,15995	0,2	0,16056
14	10	0	0,0	0,00255	0,0	0,01767	0,0	0,01886	0,0	0,12563	0,0	0,1252	0,0	0,09249	0,0	0,15214	0,0	0,09629	0,0	0,14467	0,0	0,00618	0,0	0,00656	0,0	0,08769	0,0	0,12486	0,0	0,09537	0,0	0,09289
15	10	0	0,0	0,00117	0,0	0,00524	0,0	0,00609	0,0	0,11494	0,0	0,12644	0,0	0,13707	0,0	0,14101	0,0	0,10124	0,0	0,14571	0,0	0,0048	0,0	0,00614	0,0	0,11359	0,0	0,12724	0,0	0,10766	0,0	0,15564
16	10	0	0,2	0,00119	0,2	0,0064	0,2	0,00686	0,2	0,10899	0,2	0,12086	0,2	0,18604	0,2	0,15223	0,2	0,13237	0,2	0,14238	0,2	0,00583	0,2	0,00833	0,2	0,1081	0,2	0,12072	0,2	0,15169	0,2	0,13356
17	10	0	0,0	0,00118	0,0	0,00751	0,0	0,00696	0,0	0,12784	0,0	0,13218	0,0	0,14557	0,0	0,15953	0,0	0,14596	0,0	0,15481	0,0	0,00674	0,0	0,00644	0,0	0,12958	0,0	0,13514	0,0	0,13577	0,0	0,15332
18	10	0	0,511	0,00114	0,378	0,0094	0,178	0,00646	0,0	0,08789	0,511	0,12806	0,0	0,10132	0,511	0,15134	0,0	0,09688	0,511	0,15467	0,511	0,00854	0,178	0,00709	0,0	0,08648	0,511	0,12897	0,0	0,10208	0,0	0,10285
