	Nodes	Option	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
11188	20	5	60	0,405	0,00161	0,405	0,00322	0,011	0,02248	0,253	6,4324
11189	20	5	70	0,405	0,00193	0,405	0,01018	0,011	0,00924	0,253	7,77915
11190	20	5	80	0,405	0,00139	0,405	0,00187	0,011	0,00575	0,263	8,06283
11191	20	5	90	0,547	0,00162	0,547	0,00195	0,258	0,02634	0,395	9,13362
11192	20	5	60	0,563	0,00131	0,563	0,00208	0,084	0,01673	0,558	5,06372
11193	20	5	70	0,563	0,00663	0,563	0,00435	0,084	0,0202	0,574	5,90235
11194	20	5	80	0,589	0,00095	0,589	0,00129	0,111	0,00792	0,605	8,71195
11195	20	5	90	0,621	0,0012	0,621	0,00345	0,284	0,02184	0,679	10,79259
11196	20	5	60	0,595	0,00155	0,595	0,00354	0,074	0,01149	0,595	2,81346
11197	20	5	70	0,595	0,00168	0,595	0,00402	0,074	0,01175	0,595	4,53643
11198	20	5	80	0,605	0,00112	0,605	0,00293	0,084	0,00988	0,621	6,23854
11199	20	5	90	0,732	0,02251	0,732	0,00443	0,289	0,03706	0,795	10,73558
11200	20	5	60	0,516	0,00186	0,516	0,00308	0,011	0,00964	0,021	2,51769
11201	20	5	70	0,521	0,00088	0,521	0,00171	0,016	0,00781	0,058	3,35499
11202	20	5	80	0,516	0,00135	0,516	0,00194	0,011	0,00806	0,042	4,079
11203	20	5	90	0,521	0,00159	0,521	0,0018	0,053	0,00908	0,089	4,6684
11204	20	5	60	0,511	0,00141	0,511	0,0025	0,005	0,01078	0,011	2,071
11205	20	5	70	0,516	0,00091	0,516	0,00173	0,011	0,0082	0,037	3,16739
11206	20	5	80	0,574	0,00108	0,574	0,00215	0,068	0,01562	0,116	4,84692
11207	20	5	90	0,516	0,00076	0,516	0,00121	0,132	0,01058	0,084	4,57965
11208	20	5	60	0,521	0,00131	0,521	0,00236	0,016	0,01056	0,032	2,10047
11209	20	5	70	0,516	0,0012	0,516	0,00295	0,011	0,00697	0,026	3,28826
11210	20	5	80	0,516	0,00092	0,516	0,00259	0,111	0,01064	0,042	3,71004
11211	20	5	90	0,626	0,00101	0,626	0,00135	0,2	0,01717	0,153	10,84677
11212	20	5	60	0,532	0,00135	0,532	0,00238	0,053	0,01033	0,037	3,09407
11213	20	5	70	0,532	0,00145	0,532	0,00202	0,053	0,00879	0,095	5,1515
11214	20	5	80	0,574	0,00095	0,574	0,00153	0,095	0,01888	0,158	5,18584
11215	20	5	90	0,616	0,00127	0,616	0,00132	0,137	0,01324	0,295	9,11727
11216	20	5	50	0,405	0,00143	0,405	0,00491	0,011	0,02886	0,011	2,33702
11217	20	5	60	0,405	0,00136	0,405	0,00311	0,011	0,01108	0,011	2,94141
11218	20	5	70	0,411	0,00445	0,411	0,00427	0,016	0,01335	0,026	4,31385
11219	20	5	80	0,416	0,00195	0,416	0,00176	0,284	0,03596	0,047	6,16022
11220	20	5	90	0,553	0,00094	0,553	0,00209	0,184	0,02269	0,221	5,4907
11221	20	5	60	0,595	0,00276	0,595	0,0048	0,116	0,01183	0,563	3,30938
11222	20	5	70	0,6	0,00138	0,6	0,00192	0,121	0,01267	0,568	4,29062
11223	20	5	80	0,6	0,0009	0,6	0,00538	0,121	0,01338	0,579	5,69744
11224	20	5	90	0,663	0,00084	0,663	0,00198	0,242	0,0125	0,684	7,58519
11225	20	5	50	0,5	0,0014	0,5	0,00173	0,021	0,01024	0,484	2,48829
11226	20	5	60	0,5	0,01308	0,5	0,00292	0,021	0,01148	0,437	3,82239
11227	20	5	70	0,511	0,00111	0,511	0,00165	0,032	0,00749	0,416	6,29178
11228	20	5	80	0,5	0,001	0,5	0,00166	0,021	0,01213	0,374	6,48956
11229	20	5	90	0,595	0,00117	0,595	0,00134	0,195	0,02483	0,668	14,43274
11230	20	5	60	0,537	0,00256	0,537	0,00358	0,016	0,01012	0,021	2,99794
11231	20	5	70	0,542	0,00119	0,542	0,0022	0,021	0,01354	0,047	3,19924
11232	20	5	80	0,537	0,00123	0,537	0,00144	0,016	0,00874	0,053	5,34551
11233	20	5	90	0,637	0,0042	0,637	0,00194	0,368	0,03263	0,321	7,04544
11234	20	5	40	0,395	0,00232	0,395	0,00442	0,0	0,01876	0,395	3,47194
11235	20	5	50	0,395	0,00279	0,395	0,00488	0,0	0,01625	0,395	4,07158
11236	20	5	60	0,395	0,00293	0,395	0,00613	0,0	0,00712	0,395	4,76971
11237	20	5	70	0,395	0,00123	0,395	0,00352	0,0	0,01095	0,395	5,49778
11238	20	5	80	0,395	0,00095	0,395	0,00532	0,0	0,01272	0,395	6,32047
11239	20	5	90	0,416	0,00052	0,468	0,00197	0,095	0,00897	0,174	11,03059
11240	20	5	70	0,621	0,00096	0,621	0,0017	0,116	0,00614	0,047	2,93801
11241	20	5	80	0,642	0,00081	0,642	0,00229	0,137	0,00631	0,142	4,46682
11242	20	5	90	0,711	0,00301	0,711	0,00106	0,2	0,0347	0,342	6,55027
11243	20	5	70	0,653	0,00112	0,653	0,00337	0,463	0,01304	0,274	3,42075
11244	20	5	80	0,658	0,00188	0,658	0,00153	0,5	0,01262	0,274	5,21795
11245	20	5	90	0,668	0,00122	0,668	0,00233	0,495	0,01608	0,289	7,57419
11246	20	5	60	0,521	0,00363	0,521	0,00347	0,042	0,01706	0,468	4,78805
11247	20	5	70	0,521	0,00497	0,521	0,00547	0,042	0,01028	0,468	5,70723
11248	20	5	80	0,553	0,00167	0,553	0,00251	0,074	0,01628	0,479	5,02882
11249	20	5	90	0,568	0,00156	0,568	0,00261	0,189	0,01231	0,237	6,74332
11250	20	5	60	0,516	0,00163	0,516	0,00429	0,179	0,01805	0,011	3,52693
11251	20	5	70	0,532	0,00089	0,532	0,00172	0,195	0,03274	0,026	6,17904
11252	20	5	80	0,579	0,00092	0,579	0,00173	0,242	0,01867	0,1	7,88969
11253	20	5	90	0,579	0,00151	0,579	0,00166	0,316	0,02055	0,216	7,88228
11254	20	5	60	0,511	0,00166	0,511	0,0019	0,411	0,00871	0,421	4,60621
11255	20	5	70	0,511	0,00203	0,511	0,00298	0,411	0,00921	0,426	5,98101
11256	20	5	80	0,568	0,00087	0,568	0,00261	0,374	0,03091	0,463	7,05558
11257	20	5	90	0,568	0,00101	0,568	0,002	0,468	0,00773	0,611	7,02558
11258	20	5	60	0,568	0,00692	0,568	0,02392	0,126	0,03467	0,542	4,84289
11259	20	5	70	0,568	0,0013	0,568	0,00216	0,126	0,01478	0,547	4,25729
11260	20	5	80	0,568	0,00168	0,568	0,00246	0,126	0,00732	0,553	6,18242
11261	20	5	90	0,674	0,00175	0,674	0,00202	0,232	0,0226	0,689	8,39022
11262	20	5	20	0,189	0,00256	0,189	0,00454	0,0	0,01368	0,0	0,88918
11263	20	5	30	0,189	0,00147	0,189	0,01938	0,0	0,03294	0,0	1,59025
11264	20	5	40	0,189	0,00127	0,189	0,00624	0,0	0,01142	0,0	3,084
11265	20	5	50	0,195	0,00104	0,189	0,00301	0,1	0,01661	0,005	4,0043
11266	20	5	60	0,195	0,00056	0,189	0,00583	0,1	0,03269	0,005	5,01525
11267	20	5	70	0,189	0,00122	0,189	0,00184	0,0	0,00982	0,0	3,65539
11268	20	5	80	0,189	0,00113	0,189	0,00223	0,0	0,01154	0,0	4,59204
11269	20	5	90	0,195	0,00033	0,442	0,00126	0,274	0,01182	0,258	7,22565
11270	20	5	60	0,526	0,00237	0,526	0,00299	0,084	0,01455	0,447	3,64231
11271	20	5	70	0,526	0,00098	0,526	0,00177	0,084	0,00803	0,489	4,4599
11272	20	5	80	0,526	0,00126	0,526	0,00186	0,084	0,00838	0,495	6,19956
11273	20	5	90	0,632	0,00097	0,632	0,00149	0,216	0,03232	0,574	8,1237
11274	20	5	50	0,484	0,00248	0,484	0,00539	0,005	0,01288	0,005	2,19691
11275	20	5	60	0,484	0,00183	0,484	0,00235	0,005	0,01261	0,016	3,42513
11276	20	5	70	0,489	0,00153	0,489	0,00497	0,011	0,01629	0,042	3,48264
11277	20	5	80	0,489	0,00207	0,489	0,00679	0,011	0,00808	0,053	4,34001
